start,end,type,confidence
EXP_3ed20e,DAT_68672b,experiment_to_dataset,0.7
EXP_3ed20e,DAT_b5778b,experiment_to_dataset,0.7
EXP_3ed20e,DAT_aadaa6,experiment_to_dataset,0.7
EXP_3ed20e,DAT_4f7f37,experiment_to_dataset,0.7
EXP_3ed20e,DAT_60c8bb,experiment_to_dataset,0.7
EXP_3ed20e,DAT_5391a0,experiment_to_dataset,0.7
EXP_3ed20e,DAT_67299e,experiment_to_dataset,0.7
EXP_3ed20e,DAT_65a6c1,experiment_to_dataset,0.7
EXP_3ed20e,DAT_33d66d,experiment_to_dataset,0.7
EXP_3ed20e,DAT_c3b81e,experiment_to_dataset,0.7
EXP_3ed20e,DAT_45398e,experiment_to_dataset,0.7
EXP_3ed20e,DAT_9ee783,experiment_to_dataset,0.7
EXP_3ed20e,DAT_c850d3,experiment_to_dataset,0.7
EXP_3ed20e,DAT_122ba2,experiment_to_dataset,0.7
EXP_3ed20e,DAT_bbc354,experiment_to_dataset,0.7
EXP_3ed20e,DAT_d277a2,experiment_to_dataset,0.7
EXP_3ed20e,DAT_ebb56b,experiment_to_dataset,0.7
EXP_3ed20e,DAT_5598ed,experiment_to_dataset,0.7
EXP_3ed20e,DAT_2bfd93,experiment_to_dataset,0.7
EXP_3ed20e,DAT_4c0201,experiment_to_dataset,0.7
EXP_3ed20e,DAT_586a3c,experiment_to_dataset,0.7
EXP_3ed20e,DAT_91b96a,experiment_to_dataset,0.7
EXP_3ed20e,DAT_0b0253,experiment_to_dataset,0.7
EXP_3ed20e,DAT_1321be,experiment_to_dataset,0.7
EXP_3ed20e,DAT_ba9389,experiment_to_dataset,0.7
EXP_3ed20e,DAT_57c632,experiment_to_dataset,0.7
EXP_3ed20e,DAT_2fa2f1,experiment_to_dataset,0.7
EXP_3ed20e,DAT_c9fb10,experiment_to_dataset,0.7
EXP_e84a33,DAT_409b58,experiment_to_dataset,0.7
EXP_e84a33,DAT_a57533,experiment_to_dataset,0.7
EXP_e84a33,DAT_1be135,experiment_to_dataset,0.7
EXP_e84a33,DAT_d0f272,experiment_to_dataset,0.7
EXP_e84a33,DAT_fc35a8,experiment_to_dataset,0.7
EXP_e84a33,DAT_ddaef4,experiment_to_dataset,0.7
EXP_e84a33,DAT_2ef710,experiment_to_dataset,0.7
EXP_e84a33,DAT_831141,experiment_to_dataset,0.7
EXP_e84a33,DAT_eeaa7d,experiment_to_dataset,0.7
EXP_e84a33,DAT_779fa5,experiment_to_dataset,0.7
EXP_e84a33,DAT_81cfc7,experiment_to_dataset,0.7
EXP_e84a33,DAT_7b0b32,experiment_to_dataset,0.7
EXP_e84a33,DAT_451967,experiment_to_dataset,0.7
EXP_e84a33,DAT_d88a4b,experiment_to_dataset,0.7
EXP_e84a33,DAT_461690,experiment_to_dataset,0.7
EXP_e84a33,DAT_bc7d78,experiment_to_dataset,0.7
EXP_e84a33,DAT_424973,experiment_to_dataset,0.7
EXP_e84a33,DAT_8cf8ac,experiment_to_dataset,0.7
EXP_e84a33,DAT_c53843,experiment_to_dataset,0.7
EXP_e84a33,DAT_0bd55f,experiment_to_dataset,0.7
EXP_e84a33,DAT_db1b88,experiment_to_dataset,0.7
EXP_e84a33,DAT_7858c5,experiment_to_dataset,0.7
EXP_e84a33,DAT_128e7a,experiment_to_dataset,0.7
EXP_e84a33,DAT_48101b,experiment_to_dataset,0.7
EXP_e84a33,DAT_474bd6,experiment_to_dataset,0.7
EXP_e84a33,DAT_68672b,experiment_to_dataset,0.7
EXP_e84a33,DAT_b5778b,experiment_to_dataset,0.7
EXP_e84a33,DAT_aadaa6,experiment_to_dataset,0.7
EXP_e84a33,DAT_4f7f37,experiment_to_dataset,0.7
EXP_e84a33,DAT_60c8bb,experiment_to_dataset,0.7
EXP_e84a33,DAT_5391a0,experiment_to_dataset,0.7
EXP_e84a33,DAT_67299e,experiment_to_dataset,0.7
EXP_e84a33,DAT_65a6c1,experiment_to_dataset,0.7
EXP_e84a33,DAT_33d66d,experiment_to_dataset,0.7
EXP_e84a33,DAT_c3b81e,experiment_to_dataset,0.7
EXP_e84a33,DAT_45398e,experiment_to_dataset,0.7
EXP_e84a33,DAT_9ee783,experiment_to_dataset,0.7
EXP_e84a33,DAT_c850d3,experiment_to_dataset,0.7
EXP_e84a33,DAT_122ba2,experiment_to_dataset,0.7
EXP_e84a33,DAT_bbc354,experiment_to_dataset,0.7
EXP_e84a33,DAT_d277a2,experiment_to_dataset,0.7
EXP_e84a33,DAT_ebb56b,experiment_to_dataset,0.7
EXP_e84a33,DAT_5598ed,experiment_to_dataset,0.7
EXP_e84a33,DAT_2bfd93,experiment_to_dataset,0.7
EXP_e84a33,DAT_4c0201,experiment_to_dataset,0.7
EXP_e84a33,DAT_586a3c,experiment_to_dataset,0.7
EXP_e84a33,DAT_91b96a,experiment_to_dataset,0.7
EXP_e84a33,DAT_0b0253,experiment_to_dataset,0.7
EXP_e84a33,DAT_1321be,experiment_to_dataset,0.7
EXP_e84a33,DAT_ba9389,experiment_to_dataset,0.7
EXP_e84a33,DAT_57c632,experiment_to_dataset,0.7
EXP_e84a33,DAT_2fa2f1,experiment_to_dataset,0.7
EXP_e84a33,DAT_c9fb10,experiment_to_dataset,0.7
EXP_9425c9,DAT_409b58,experiment_to_dataset,0.7
EXP_9425c9,DAT_a57533,experiment_to_dataset,0.7
EXP_9425c9,DAT_1be135,experiment_to_dataset,0.7
EXP_9425c9,DAT_d0f272,experiment_to_dataset,0.7
EXP_9425c9,DAT_fc35a8,experiment_to_dataset,0.7
